#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,0,1,4
master_b_1,4,0,1,32
master_nb_0,1,0,0,32
master_nb_1,2,0,1,32
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,false,ACTIVE
15000,WRITE,1,0,0,false,ACTIVE
25000,READ,2,0,0,false,ACTIVE
35000,WRITE,2,0,0,true,ACTIVE
45000,READ,3,0,0,false,ACTIVE
55000,READ,3,4,0,false,ACTIVE
65000,READ,1,4,0,false,ACTIVE
75000,WRITE,1,4,1,false,ACTIVE
85000,READ,2,4,0,true,ACTIVE
95000,WRITE,2,4,2,true,ACTIVE
105000,READ,3,8,0,false,ACTIVE
115000,READ,3,12,0,false,ACTIVE
125000,READ,1,8,1,false,ACTIVE
135000,WRITE,1,8,2,false,ACTIVE
145000,READ,2,8,2,true,ACTIVE
155000,WRITE,2,8,4,true,ACTIVE
165000,READ,3,16,0,false,ACTIVE
175000,READ,3,20,0,false,ACTIVE
185000,READ,1,12,2,false,ACTIVE
195000,WRITE,1,12,3,false,ACTIVE
205000,READ,2,12,4,true,ACTIVE
215000,WRITE,2,12,6,true,ACTIVE
225000,READ,3,24,0,false,ACTIVE
235000,READ,3,28,0,false,ACTIVE
245000,READ,1,16,3,false,ACTIVE
255000,WRITE,1,16,4,false,ACTIVE
265000,READ,2,16,6,true,ACTIVE
275000,WRITE,2,16,8,true,ACTIVE
285000,READ,3,32,0,false,ACTIVE
295000,READ,3,36,0,false,ACTIVE
305000,READ,1,20,4,false,ACTIVE
315000,WRITE,1,20,5,false,ACTIVE
325000,READ,2,20,8,true,ACTIVE
335000,WRITE,2,20,10,true,ACTIVE
345000,READ,3,40,0,false,ACTIVE
355000,READ,3,44,0,false,ACTIVE
365000,READ,1,24,5,false,ACTIVE
375000,WRITE,1,24,6,false,ACTIVE
385000,READ,2,24,10,true,ACTIVE
395000,WRITE,2,24,12,true,ACTIVE
405000,READ,3,48,0,false,ACTIVE
415000,READ,3,52,0,false,ACTIVE
425000,READ,1,28,6,false,ACTIVE
435000,WRITE,1,28,7,false,ACTIVE
445000,READ,2,28,12,true,ACTIVE
455000,WRITE,2,28,14,true,ACTIVE
465000,READ,3,56,0,false,ACTIVE
475000,READ,3,60,0,false,ACTIVE
485000,READ,1,32,7,false,ACTIVE
495000,WRITE,1,32,8,false,ACTIVE
505000,READ,2,32,14,true,ACTIVE
515000,WRITE,2,32,16,true,ACTIVE
525000,READ,4,0,0,false,ACTIVE
535000,READ,4,4,0,false,ACTIVE
545000,READ,1,36,8,false,ACTIVE
555000,WRITE,1,36,9,false,ACTIVE
565000,READ,2,36,16,true,ACTIVE
575000,WRITE,2,36,18,true,ACTIVE
585000,READ,4,8,0,false,ACTIVE
595000,READ,4,12,0,false,ACTIVE
605000,READ,1,40,9,false,ACTIVE
615000,WRITE,1,40,10,false,ACTIVE
625000,READ,2,40,18,true,ACTIVE
635000,WRITE,2,40,20,true,ACTIVE
645000,WRITE,3,0,0,true,ACTIVE
655000,WRITE,3,4,1,true,ACTIVE
665000,READ,1,44,10,false,ACTIVE
675000,WRITE,1,44,11,false,ACTIVE
685000,READ,2,44,20,true,ACTIVE
