#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,0,0,16
master_b_1,2,0,1,4
master_nb_0,1,0,0,32
master_nb_1,4,0,1,32
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,false,ACTIVE
15000,WRITE,1,0,0,false,ACTIVE
25000,READ,2,0,0,false,ACTIVE
35000,READ,2,4,0,false,ACTIVE
45000,READ,2,8,0,false,ACTIVE
55000,READ,2,12,0,false,ACTIVE
65000,READ,1,4,0,false,ACTIVE
75000,WRITE,1,4,1,false,ACTIVE
85000,READ,2,16,0,false,ACTIVE
95000,READ,2,20,0,false,ACTIVE
105000,READ,2,24,0,false,ACTIVE
115000,READ,2,28,0,false,ACTIVE
125000,READ,1,8,1,false,ACTIVE
135000,WRITE,1,8,2,false,ACTIVE
145000,READ,2,32,0,false,ACTIVE
155000,READ,2,36,0,false,ACTIVE
165000,READ,2,40,0,false,ACTIVE
175000,READ,2,44,0,false,ACTIVE
185000,READ,1,12,2,false,ACTIVE
195000,WRITE,1,12,3,false,ACTIVE
205000,READ,2,48,0,false,ACTIVE
215000,READ,2,52,0,false,ACTIVE
225000,READ,2,56,0,false,ACTIVE
235000,READ,2,60,0,false,ACTIVE
245000,READ,1,16,3,false,ACTIVE
255000,WRITE,1,16,4,false,ACTIVE
265000,READ,3,0,0,false,ACTIVE
275000,READ,3,4,0,false,ACTIVE
285000,READ,3,8,0,false,ACTIVE
295000,READ,3,12,0,false,ACTIVE
305000,READ,1,20,4,false,ACTIVE
315000,WRITE,1,20,5,false,ACTIVE
325000,READ,3,16,0,false,ACTIVE
335000,READ,3,20,0,false,ACTIVE
345000,READ,3,24,0,false,ACTIVE
355000,READ,3,28,0,false,ACTIVE
365000,READ,1,24,5,false,ACTIVE
375000,WRITE,1,24,6,false,ACTIVE
385000,READ,3,32,0,false,ACTIVE
395000,READ,3,36,0,false,ACTIVE
405000,WRITE,2,0,0,true,ACTIVE
415000,WRITE,2,4,1,true,ACTIVE
425000,READ,1,28,6,false,ACTIVE
435000,WRITE,1,28,7,false,ACTIVE
445000,WRITE,2,8,2,false,ACTIVE
455000,WRITE,2,12,3,false,ACTIVE
465000,WRITE,2,16,4,false,ACTIVE
475000,WRITE,2,20,5,false,ACTIVE
485000,READ,1,32,7,false,ACTIVE
495000,WRITE,1,32,8,false,ACTIVE
505000,WRITE,2,24,6,false,ACTIVE
515000,WRITE,2,28,7,false,ACTIVE
525000,WRITE,2,32,8,false,ACTIVE
535000,WRITE,2,36,9,false,ACTIVE
545000,READ,1,36,8,false,ACTIVE
555000,WRITE,1,36,18,false,ACTIVE
565000,WRITE,2,40,10,false,ACTIVE
575000,WRITE,2,44,11,false,ACTIVE
585000,WRITE,2,48,12,false,ACTIVE
595000,WRITE,2,52,13,false,ACTIVE
605000,READ,1,40,18,false,ACTIVE
615000,WRITE,1,40,20,false,ACTIVE
625000,WRITE,2,56,14,false,ACTIVE
635000,WRITE,2,60,15,false,ACTIVE
645000,READ,3,40,0,false,ACTIVE
655000,READ,2,0,0,true,ACTIVE
665000,READ,2,4,1,true,ACTIVE
675000,READ,1,44,20,false,ACTIVE
685000,WRITE,1,44,22,false,ACTIVE
